geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type
AK,uninsured,wk1_2,asian,0.08810991977239294,0.03642097727087188,0.07138511545090888,0.016724804321484057,0.15949503522330183,state
AK,uninsured,wk1_2,black,0.09008123348282684,0.06928337651560244,0.13579541797058078,-0.04571418448775394,0.22587665145340763,state
AK,uninsured,wk1_2,hispanic,0.10045769544855943,0.034155945473264775,0.06694565312759895,0.03351204232096047,0.16740334857615838,state
AK,uninsured,wk1_2,other,0.18147579547774068,0.044177096649365026,0.08658710943275545,0.09488868604498522,0.2680629049104961,state
AK,uninsured,wk1_2,white,0.11296108586123767,0.014224166257748637,0.027879365865187328,0.08508171999605034,0.140840451726425,state
AL,uninsured,wk1_2,asian,0.05246105955868565,0.04875767113661651,0.09556503542776837,-0.04310397586908272,0.14802609498645403,state
AL,uninsured,wk1_2,black,0.09628777393415222,0.0320913295939411,0.06289900600412456,0.033388767930027666,0.1591867799382768,state
AL,uninsured,wk1_2,hispanic,0.27951053923639957,0.15431661519045994,0.3024605657733015,-0.022950026536901924,0.5819711050097011,state
AL,uninsured,wk1_2,other,0.018287243017624726,0.017106520345902765,0.03352877987796942,-0.015241536860344695,0.051816022895594144,state
AL,uninsured,wk1_2,white,0.10646218174943178,0.018235534502598256,0.03574164762509258,0.07072053412433921,0.14220382937452436,state
AR,uninsured,wk1_2,asian,0.2628589219054409,0.2183283998802995,0.42792366376538704,-0.16506474185994613,0.690782585670828,state
AR,uninsured,wk1_2,black,0.07324368866022102,0.02814785081518396,0.05516978759776056,0.018073901062460457,0.12841347625798158,state
AR,uninsured,wk1_2,hispanic,0.13907635748466032,0.07445989841731482,0.14594140089793703,-0.006865043413276706,0.28501775838259735,state
AR,uninsured,wk1_2,other,0.1528801554641755,0.11311834769754738,0.22171196148719285,-0.06883180602301736,0.37459211695136835,state
AR,uninsured,wk1_2,white,0.08146463721356431,0.01627291487993359,0.03189491316466984,0.049569724048894474,0.11335955037823414,state
AZ,uninsured,wk1_2,asian,0.03289729114526061,0.023728495288477827,0.04650785076541654,-0.013610559620155928,0.07940514191067716,state
AZ,uninsured,wk1_2,black,0.0631023251826398,0.029644078940145358,0.0581023947226849,0.004999930459954907,0.1212047199053247,state
AZ,uninsured,wk1_2,hispanic,0.2547060111633263,0.04259056373781007,0.08347750492610773,0.17122850623721858,0.33818351608943403,state
AZ,uninsured,wk1_2,other,0.16782098181678587,0.08015261303584882,0.15709912155026368,0.010721860266522193,0.3249201033670496,state
AZ,uninsured,wk1_2,white,0.07701574824175317,0.00815015021904235,0.015974294429323008,0.06104145381243016,0.09299004267107618,state
CA,uninsured,wk1_2,asian,0.08570338474164012,0.021089106480739136,0.041334648702248705,0.04436873603939141,0.1270380334438888,state
CA,uninsured,wk1_2,black,0.17992721707673556,0.06302855809620922,0.12353597386857007,0.05639124320816549,0.3034631909453056,state
CA,uninsured,wk1_2,hispanic,0.1442542097016053,0.017673155838793645,0.034639385444035546,0.10961482425756974,0.17889359514564085,state
CA,uninsured,wk1_2,other,0.06377233394794346,0.026924090958927373,0.05277121827949765,0.011001115668445811,0.11654355222744112,state
CA,uninsured,wk1_2,white,0.047886411560044535,0.011590510085995183,0.02271739976855056,0.025169011791493976,0.0706038113285951,state
CO,uninsured,wk1_2,asian,0.026634392671582813,0.016758545134976197,0.03284674846455334,-0.006212355792970529,0.05948114113613616,state
